1000010,c,0.0,20.0,-20.0,-,2021/11/11    06:11
1000012,c,0.0,100.0,100.0,+,2021/11/11    06:11
1000011,c,0.0,60.0,60.0,+,2021/11/11    06:11
1000013,c,0.0,90.0,-90.0,-,2021/11/11    06:11
1000010,c,-20.0,20.0,0.0,+,2021/11/11    06:11
1000011,c,60.0,60.0,0.0,-,2021/11/11    06:12
1000012,c,100.0,100.0,0.0,-,2021/11/11    06:12
1000013,c,-90.0,90.0,0.0,+,2021/11/11    06:12
1000004,s,0.0,5616516.0,5616516.0,+,2021/11/12    10:31
1000010,c,0.0,40.0,40.0,+,2021/11/12    10:31
1000010,c,40.0,40.0,80.0,+,2021/11/12    10:31
1000010,c,80.0,40.0,120.0,+,2021/11/12    10:31
1000010,c,120.0,40.0,160.0,+,2021/11/12    10:31
1000010,c,160.0,40.0,200.0,+,2021/11/12    10:31
1000013,c,0.0,0.0,0.0,r,2021/11/12    13:54
1000012,c,0.0,0.0,0.0,r,2021/11/12    13:54
